Intensity,Address,Latitude,Longitude,Found Address,Match Quality,Source
0.1,,41.77454479,-72.67795519,,,
0.1,,41.8016062,-72.65909829,,,
0.1,,41.76746273,-72.67224746,,,
0.1,,41.74753178,-72.68716217,,,
0.1,,41.75716327,-72.69180558,,,
0.1,,41.76640157,-72.67339597,,,
0.1,,41.7909143,-72.67901262,,,
0.1,,41.77774448,-72.69897918,,,
0.1,,41.76254515,-72.70645404,,,
0.1,,41.76527464,-72.68677665,,,
0.1,,41.78042143,-72.67469695,,,
0.1,,41.76831852,-72.69471357,,,
0.1,,41.7410976,-72.68965075,,,
0.1,,41.79121602,-72.68107,,,
0.1,,41.77091613,-72.69727721,,,
0.1,,41.75163998,-72.66171445,,,
0.1,,41.77022685,-72.69370984,,,
0.1,,41.74053157,-72.69746278,,,
0.1,,41.77247037,-72.69327093,,,
0.1,,41.77870651,-72.67478166,,,
0.1,,41.76226997,-72.69025708,,,
0.1,,41.78567469,-72.69660885,,,
0.1,,41.74006747,-72.71419229,,,
0.1,,41.74022894,-72.69935028,,,
0.1,,41.77243545,-72.67803544,,,
0.1,,41.76329526,-72.68898523,,,
0.1,,41.77869073,-72.68618658,,,
0.1,,41.77362464,-72.69293115,,,
0.1,,41.73733137,-72.65938136,,,
0.1,,41.73431369,-72.67596377,,,
0.1,,41.74706944,-72.67665364,,,
0.1,,41.79154081,-72.68329579,,,
0.1,,41.74235313,-72.71147209,,,
0.1,,41.80055359,-72.69349063,,,
0.1,,41.7782081,-72.67667757,,,
0.1,,41.73612967,-72.67544974,,,
0.1,,41.77807513,-72.67266668,,,
0.1,,41.75452599,-72.68099934,,,
0.1,,41.7843629,-72.67587426,,,
0.1,,41.79279489,-72.67220155,,,
0.1,,41.78804881,-72.68632373,,,
0.1,,41.78690378,-72.66316231,,,
0.1,,41.73767876,-72.67123044,,,
0.1,,41.78167307,-72.68800633,,,
0.1,,41.76570859,-72.70956501,,,
0.1,,41.74227979,-72.71454908,,,
0.1,,41.7851473,-72.68424852,,,
0.1,,41.77531572,-72.69200515,,,
0.1,,41.75215923,-72.69309137,,,
0.1,,41.76014551,-72.70484853,,,
0.1,,41.7801877,-72.68368902,,,
0.1,,41.80311825,-72.69490776,,,
0.1,,41.77174284,-72.67558056,,,
0.1,,41.76046312,-72.67974349,,,
0.1,,41.75589678,-72.67295494,,,
0.1,,41.80311825,-72.69490776,,,
0.1,,41.75214729,-72.71465614,,,
0.1,,41.80274711,-72.69142013,,,
0.1,,41.80368031,-72.69562457,,,
0.1,,41.8008338,-72.65688464,,,
0.1,,41.77174284,-72.67558056,,,
0.1,,41.77958032,-72.69120984,,,
0.1,,41.78768523,-72.67355165,,,
0.1,,41.73847507,-72.67850098,,,
0.1,,41.7679339,-72.67806336,,,
0.1,,41.74761426,-72.67297913,,,
0.1,,41.73439432,-72.69652244,,,
0.1,,41.74926668,-72.67548613,,,
0.1,,41.7485712,-72.6776126,,,
0.1,,41.80008702,-72.70828589,,,
0.1,,41.77869429,-72.6996619,,,
0.1,,41.78775897,-72.67612164,,,
0.1,,41.74456119,-72.67600166,,,
0.1,,41.80311825,-72.69490776,,,
0.1,,41.79239432,-72.69881016,,,
0.1,,41.77958032,-72.69120984,,,
0.1,,41.74347707,-72.67643619,,,
0.1,,41.79356962,-72.66981239,,,
0.1,,41.73947685,-72.67784217,,,
0.1,,41.77224546,-72.69620964,,,
0.1,,41.73767876,-72.67123044,,,
0.1,,41.7302685,-72.66860633,,,
0.1,,41.75891759,-72.68910891,,,
0.1,,41.77243545,-72.67803544,,,
0.1,,41.76361066,-72.7090672,,,
0.1,,41.78093845,-72.68160423,,,
0.1,,41.77243545,-72.67803544,,,
0.1,,41.79138682,-72.70238949,,,
0.1,,41.75448766,-72.66933458,,,
